seqnames start end strand gene_id
89 chr18 23154438 23236812 + ENSDARG00000001414
90 chr7 7866376 7964195 + ENSDARG00000001431
91 chr23 22494609 22506777 + ENSDARG00000001437
92 chr14 33619348 33650873 + ENSDARG00000001442
93 chr2 5453872 5478506 - ENSDARG00000001447
94 chr13 24895371 24903526 + ENSDARG00000001452
95 chr17 25255797 25267007 + ENSDARG00000001463
96 chr1 47613228 47619236 - ENSDARG00000001470
97 chr12 28727974 28777935 + ENSDARG00000001498
98 chr9 2760778 2780797 + ENSDARG00000001549
99 chr6 52177501 52185615 - ENSDARG00000001557
100 chr19 7613506 7623139 + ENSDARG00000001558
101 chr19 37663206 38223383 - ENSDARG00000001559
102 chr19 5883706 5889358 - ENSDARG00000001572
103 chr13 24802998 24806126 + ENSDARG00000001578
104 chr8 25872485 25887354 - ENSDARG00000001621
105 chr7 20281571 20358028 - ENSDARG00000001634
106 chr13 47234668 47250666 - ENSDARG00000001637
107 chr19 7734315 7767121 - ENSDARG00000001656
108 chr9 56749154 56842989 - ENSDARG00000001676
109 chr8 23862605 23881479 + ENSDARG00000001686
110 chr19 7560892 7578554 + ENSDARG00000001710
111 chr11 8388864 8402037 - ENSDARG00000001712
112 chr2 43043670 43061471 - ENSDARG00000001721
113 chr17 28766056 28802090 + ENSDARG00000001729
114 chr9 43680181 43723222 + ENSDARG00000001733
115 chr22 21246195 21270794 - ENSDARG00000001734
116 chr23 23420272 23473559 - ENSDARG00000001754
117 chr16 18663771 18691068 - ENSDARG00000001760
118 chr21 26672079 26807688 - ENSDARG00000001767
119 chr21 13959617 14023048 + ENSDARG00000001769
120 chr2 5946029 5958557 + ENSDARG00000001771
121 chr7 62964154 63081632 + ENSDARG00000001776
122 chr10 1623968 1663150 - ENSDARG00000001777
123 chr4 10237618 10264480 + ENSDARG00000001781
124 chr11 8275738 8296952 + ENSDARG00000001782
125 chr19 19225322 19226716 + ENSDARG00000001784
126 chr16 565648 570195 - ENSDARG00000001785
127 chr9 34178830 34182181 + ENSDARG00000001788
128 chr3 31865847 31921058 - ENSDARG00000001803
129 chr3 57615700 57625918 + ENSDARG00000001804
130 chr20 35822606 35866178 - ENSDARG00000001807
131 chr2 55803426 55814829 + ENSDARG00000001817
132 chr22 26720497 26827465 - ENSDARG00000001818
133 chr13 24941770 24967041 + ENSDARG00000001825
134 chr24 24709759 24726399 - ENSDARG00000001829
135 chr8 37574076 37576393 - ENSDARG00000001832
136 chr9 32621978 32780414 - ENSDARG00000001835
137 chr21 41584595 41652651 + ENSDARG00000001857
138 chr25 14768244 14771154 + ENSDARG00000001859
139 chr1 1446561 1462945 + ENSDARG00000001870
140 chr9 49173471 49201751 - ENSDARG00000001873
141 chr25 14771450 14898337 - ENSDARG00000001879
142 chr14 22700396 22747613 + ENSDARG00000001880
143 chr23 14209498 14292297 + ENSDARG00000001881
144 chr6 40648680 40653064 - ENSDARG00000001882
145 chr13 10249048 10296521 - ENSDARG00000001888
146 chr23 35760274 35762942 + ENSDARG00000001889
147 chr16 42052001 42144277 - ENSDARG00000001890
148 chr20 9419786 9456244 - ENSDARG00000001891
149 chr11 32083215 32101155 - ENSDARG00000001897
150 chr17 15500106 15508447 - ENSDARG00000001898
151 chr21 19064881 19073351 + ENSDARG00000001906
152 chr24 21027155 21049407 - ENSDARG00000001909
153 chr7 30875146 30908123 - ENSDARG00000001910
154 chr4 18884898 18961989 - ENSDARG00000001912
155 chr2 18919836 18935320 + ENSDARG00000001913
156 chr1 774782 775204 - ENSDARG00000001915
157 chr23 37565077 37578386 + ENSDARG00000001929
158 chr24 17514310 17528833 - ENSDARG00000001930
159 chr2 12848791 12940442 + ENSDARG00000001933
160 chr17 48597218 48609160 + ENSDARG00000001937
161 chr7 26182257 26198954 + ENSDARG00000001939
162 chr2 20970998 20978561 + ENSDARG00000001940
163 chr5 74812581 74834818 - ENSDARG00000001950
164 chr4 24560099 24572537 - ENSDARG00000001953
165 chr8 7220902 7395237 - ENSDARG00000001968
166 chr11 12842891 12860055 - ENSDARG00000001969
167 chr16 50665425 50693981 - ENSDARG00000001971
168 chr11 21580354 21594666 - ENSDARG00000001972
169 chr7 36566732 36581054 - ENSDARG00000001975
170 chr18 25437294 25529331 + ENSDARG00000001976
171 chr6 40676531 40687002 - ENSDARG00000001993
172 chr21 12063686 12123119 + ENSDARG00000001994
173 chr7 42976333 43060393 - ENSDARG00000001999
174 chr22 42142822 42153937 + ENSDARG00000002002
175 chr16 20493224 20528393 + ENSDARG00000002006
176 chr19 23619654 23736084 - ENSDARG00000002013
177 chr5 14111127 14182332 + ENSDARG00000002016
178 chr21 20023347 20070262 + ENSDARG00000002020
179 chr17 20956648 20982326 + ENSDARG00000002021
180 chr13 3319082 3498276 + ENSDARG00000002026
181 chr2 37770447 37783417 - ENSDARG00000002031
182 chr11 19205191 19220643 - ENSDARG00000002037
183 chr19 1504344 1511430 + ENSDARG00000002046
184 chr10 42654382 42667407 - ENSDARG00000002060
185 chr13 11205446 11252444 - ENSDARG00000002071
186 chr13 31871873 31905553 + ENSDARG00000002077
187 chr16 33740930 33756680 - ENSDARG00000002082
188 chr23 20468083 20547040 - ENSDARG00000002084
189 chr3 2471367 2480629 - ENSDARG00000002097
190 chr2 31153269 31168328 + ENSDARG00000002127
191 chr4 16710915 16721750 + ENSDARG00000002128
192 chr15 13572295 13595148 + ENSDARG00000002129
193 chr4 22817287 23054090 - ENSDARG00000002131
194 chr18 44304691 44369549 + ENSDARG00000002148
195 chr24 12849936 12858615 + ENSDARG00000002165
196 chr3 15773660 15847664 - ENSDARG00000002167
197 chr9 12855309 12871009 - ENSDARG00000002168
198 chr8 42369698 42370786 - ENSDARG00000002172
199 chr4 16607318 16622180 + ENSDARG00000002174
200 chr5 38130999 38138138 + ENSDARG00000002184
201 chr1 33191236 33201926 + ENSDARG00000002190
202 chr22 10590115 10597640 - ENSDARG00000002192
203 chr8 55706882 55708436 - ENSDARG00000002193
204 chr13 46116954 46143214 - ENSDARG00000002194
205 chr10 26004029 26016671 + ENSDARG00000002196
206 chr13 37248655 37264905 - ENSDARG00000002197
207 chr21 19211712 19212753 + ENSDARG00000002204
208 chr6 26749822 26765930 - ENSDARG00000002210
209 chr16 29670788 29730941 + ENSDARG00000002213
210 chr22 16497252 16506149 - ENSDARG00000002215
211 chr5 75416715 75424283 + ENSDARG00000002216
212 chr14 51193732 51198999 - ENSDARG00000002217
213 chr13 23458791 23488614 - ENSDARG00000002219
214 chr5 34913576 34916250 - ENSDARG00000002220
215 chr20 3953740 4028510 - ENSDARG00000002226
216 chr8 51664920 51692854 - ENSDARG00000002230
217 chr2 52861686 52935538 + ENSDARG00000002231
218 chr7 25291382 25316761 - ENSDARG00000002235
219 chr23 44652957 44662183 - ENSDARG00000002240
220 chr6 49358025 49359589 + ENSDARG00000002241
221 chr18 12104314 12321906 + ENSDARG00000002249
222 chr24 43662025 43688676 - ENSDARG00000002255
223 chr12 5019013 5026800 - ENSDARG00000002259
224 chr5 26741829 26744114 + ENSDARG00000002264
225 chr16 47488354 47508939 - ENSDARG00000002267
226 chr10 15631656 15641876 + ENSDARG00000002271
227 chr1 46142380 46171267 + ENSDARG00000002285
228 chr22 17684958 17687730 - ENSDARG00000002293
229 chr8 15372422 15400643 + ENSDARG00000002295
230 chr12 18222204 18226184 + ENSDARG00000002298
231 chr9 57794391 57813088 - ENSDARG00000002299
232 chr5 14011701 14026222 - ENSDARG00000002300
233 chr4 356400 383176 + ENSDARG00000002303
234 chr18 30425308 30443767 - ENSDARG00000002304
235 chr9 35217688 35231518 - ENSDARG00000002305
236 chr16 18199547 18202985 - ENSDARG00000002311
237 chr2 10997100 11001473 + ENSDARG00000002330
238 chr13 37359952 37395059 + ENSDARG00000002332
239 chr20 33777575 33814611 - ENSDARG00000002333
240 chr15 19425090 19429944 - ENSDARG00000002336
241 chr3 15094319 15101204 - ENSDARG00000002339
242 chr14 5867604 5871315 + ENSDARG00000002344
243 chr25 23043279 23058622 + ENSDARG00000002347
244 chr17 45572274 45578169 + ENSDARG00000002353
245 chr5 43743288 43751407 + ENSDARG00000002355
246 chr12 21156141 21216993 - ENSDARG00000002362
247 chr22 5682177 5746234 - ENSDARG00000002365
248 chr5 43682726 43714907 + ENSDARG00000002369
249 chr1 7597407 7608093 + ENSDARG00000002377
250 chr15 6399738 6503351 - ENSDARG00000002385
251 chr21 25473702 25483451 - ENSDARG00000002391
252 chr10 26361124 26363174 + ENSDARG00000002394
253 chr24 20802474 20816926 - ENSDARG00000002396
254 chr4 2216012 2241310 - ENSDARG00000002400
255 chr17 24708479 24719085 - ENSDARG00000002401
256 chr6 8096617 8158547 + ENSDARG00000002402
257 chr13 33475323 33480269 - ENSDARG00000002403
258 chr5 22570100 22597916 - ENSDARG00000002405
259 chr1 21465390 21477477 + ENSDARG00000002406
260 chr11 6767964 6876042 + ENSDARG00000002411
261 chr2 19237272 19288419 - ENSDARG00000002412
262 chr12 27373146 27454439 + ENSDARG00000002414
263 chr16 8650398 8662788 - ENSDARG00000002445
264 chr14 25848223 25872579 + ENSDARG00000002463
265 chr20 9599440 9606013 - ENSDARG00000002467
266 chr5 25582520 25595454 + ENSDARG00000002479
267 chr11 21347983 21354919 + ENSDARG00000002480
268 chr23 4465518 4484395 + ENSDARG00000002483
269 chr12 6367942 6386602 + ENSDARG00000002487
270 chr11 11048374 11083207 + ENSDARG00000002494
271 chr10 37227637 37233092 - ENSDARG00000002498
272 Zv9_scaffold3485 101776 166677 + ENSDARG00000002502
273 chr7 44602709 44610814 - ENSDARG00000002506
274 chr16 16045949 16118555 - ENSDARG00000002507
275 chr6 39209968 39216893 + ENSDARG00000002508
276 chr13 36375961 36378585 - ENSDARG00000002509
277 chr6 3371265 3381103 - ENSDARG00000002510
278 chr10 11226066 11246479 + ENSDARG00000002523
279 chr5 65841944 65862090 - ENSDARG00000002533
280 chr23 7622362 7652457 + ENSDARG00000002536
281 chr14 6235165 6251916 + ENSDARG00000002538
282 chr12 10792175 10815554 + ENSDARG00000002546
283 chr19 23108565 23148425 - ENSDARG00000002549
284 chr11 21987879 22051373 - ENSDARG00000002552
285 chr3 21464688 21493434 - ENSDARG00000002564
286 chr18 37764299 37826745 + ENSDARG00000002571
287 chr12 4528622 4542272 + ENSDARG00000002576
288 chr9 22068233 22101316 - ENSDARG00000002582
289 chr21 38733468 38754688 - ENSDARG00000002585
290 chr21 41376468 41427533 - ENSDARG00000002587
291 chr12 15882268 15890507 + ENSDARG00000002589
292 chr6 40763499 40771896 + ENSDARG00000002591
293 chr21 18273817 18312164 + ENSDARG00000002593
294 chr8 47170985 47188777 - ENSDARG00000002597
295 chr21 10108839 10146352 + ENSDARG00000002600
296 chr23 37908870 37910194 + ENSDARG00000002601
297 chr11 27409952 27498767 + ENSDARG00000002607
298 chr14 36129912 36170520 + ENSDARG00000002609
299 chr19 25950690 25952850 + ENSDARG00000002613
300 chr19 11898214 11921647 + ENSDARG00000002614
301 chr12 50249467 50270603 + ENSDARG00000002632
302 chr1 11437846 11457519 - ENSDARG00000002634
303 chr17 15150671 15223943 - ENSDARG00000002635
304 chr8 19367223 19404850 - ENSDARG00000002642
305 chr6 34307464 34359503 + ENSDARG00000002644
306 chr20 31771857 31944849 - ENSDARG00000002656
307 chr23 9901568 9914536 - ENSDARG00000002659
308 chr4 7196609 7208461 + ENSDARG00000002663
309 chr10 40668309 40671706 + ENSDARG00000002666
310 chr17 10599319 10627558 + ENSDARG00000002670
311 chr15 19902714 19918096 - ENSDARG00000002682
312 chr7 25997667 26005518 - ENSDARG00000002685
313 chr11 25749226 25751196 + ENSDARG00000002690
314 chr19 5730429 5759548 - ENSDARG00000002696
315 chr7 14622551 14648456 + ENSDARG00000002701
316 Zv9_scaffold3537 3071 25711 + ENSDARG00000002702
317 chr14 31408114 31410596 - ENSDARG00000002707
318 chr22 39555553 39572992 - ENSDARG00000002710
319 chr18 6123286 6142697 - ENSDARG00000002720
320 chr13 41341677 41353079 + ENSDARG00000002722
321 chr2 33514082 33539038 + ENSDARG00000002728
322 chr19 49095801 49182471 - ENSDARG00000002731
323 chr14 15209301 15214832 + ENSDARG00000002732
324 chr15 20479562 20480208 - ENSDARG00000002738
325 chr20 19064839 19070182 + ENSDARG00000002745
326 chr19 400160 427243 + ENSDARG00000002748
327 chr11 25977642 25995750 + ENSDARG00000002750
328 chr25 31432258 31444641 + ENSDARG00000002754
329 chr16 12544915 12566896 + ENSDARG00000002758
330 chr6 52589974 52614490 - ENSDARG00000002760
331 chr18 5818132 5828224 - ENSDARG00000002764
332 chr12 18777974 18780047 - ENSDARG00000002768
333 chr5 29691458 29753489 - ENSDARG00000002771
334 chr9 19922691 19923764 + ENSDARG00000002773
335 chr17 4951306 5166425 - ENSDARG00000002776
336 chr24 22292137 22294654 + ENSDARG00000002779
337 chr18 20006672 20038222 + ENSDARG00000002787
338 chr2 9578708 9607608 - ENSDARG00000002790
339 chr1 1468926 1550157 + ENSDARG00000002791
340 chr5 32141266 32155663 - ENSDARG00000002792
341 chr15 3658041 3665790 + ENSDARG00000002794
342 chr15 6727919 6753991 - ENSDARG00000002795
343 chr3 4227220 4228063 + ENSDARG00000002797
344 chr18 4486402 4495076 + ENSDARG00000002798
345 chr5 53315188 53434604 + ENSDARG00000002816
346 chr20 32180443 32187901 - ENSDARG00000002826
347 chr5 26201336 26212461 - ENSDARG00000002830
348 chr15 35219728 35323241 - ENSDARG00000002831
349 Zv9_NA544 6600 7266 + ENSDARG00000002837
350 chr1 45107205 45159739 - ENSDARG00000002840
351 chr20 31028096 31093214 - ENSDARG00000002847
352 chr3 53285166 53299264 - ENSDARG00000002872
353 chr20 39247944 39284589 + ENSDARG00000002877
354 chr19 41340216 41648428 + ENSDARG00000002880
355 chr20 29257464 29295270 + ENSDARG00000002894
356 chr11 2595731 2607059 - ENSDARG00000002897
357 chr11 2459546 2483054 - ENSDARG00000002898
358 chr22 17881697 17912960 - ENSDARG00000002909
359 chr11 25733715 25748096 + ENSDARG00000002912
360 chr12 49707841 49761042 - ENSDARG00000002916
361 chr22 10205375 10221138 - ENSDARG00000002917
362 chr6 15948991 15952088 + ENSDARG00000002933
363 chr1 51983934 52033926 + ENSDARG00000002937
364 chr23 20302580 20339919 - ENSDARG00000002945
365 chr2 14930111 14946095 - ENSDARG00000002947
366 chr5 33620713 33633016 + ENSDARG00000002949
367 chr4 14036631 14045329 + ENSDARG00000002952
368 chr12 4794914 4825546 + ENSDARG00000002956
369 chr9 34451277 34452629 + ENSDARG00000002959
370 chr3 40272486 40279526 - ENSDARG00000002967
371 chr12 6843942 6861390 - ENSDARG00000002968
372 chr2 2368190 2384584 - ENSDARG00000002970
373 chr16 34257008 34274819 + ENSDARG00000002971
374 chr1 55550030 55577651 - ENSDARG00000002980
375 chr23 42943804 42954118 - ENSDARG00000002981
376 chr5 27352918 27367628 - ENSDARG00000002986
377 chr25 20707521 20718141 + ENSDARG00000002988
378 chr20 25741325 25764922 + ENSDARG00000002991
379 chr21 20107034 20126870 + ENSDARG00000002994
380 chr12 27168132 27297884 + ENSDARG00000003008
381 chr2 56950887 56976839 + ENSDARG00000003016
382 chr9 9024874 9028935 + ENSDARG00000003017
383 chr18 9756856 9758790 - ENSDARG00000003020
384 chr7 53111279 53204522 - ENSDARG00000003021
385 chr21 39452549 39482904 - ENSDARG00000003022
386 chr2 108647 114343 - ENSDARG00000003025
387 chr16 31931571 31936226 - ENSDARG00000003027
388 chr5 25877348 25888279 - ENSDARG00000003032
389 chr14 12401026 12425844 + ENSDARG00000003035
390 chr20 54484945 54502157 + ENSDARG00000003041
391 chr1 16489551 16545516 - ENSDARG00000003046
392 chr17 10352263 10353795 + ENSDARG00000003049
393 chr24 31452170 31462982 + ENSDARG00000003051
394 chr1 53012839 53033180 + ENSDARG00000003054
395 chr20 30604875 30636078 + ENSDARG00000003058
396 chr18 49297702 49378271 - ENSDARG00000003061
397 chr2 24043866 24055506 - ENSDARG00000003068
398 chr20 27144481 27220000 - ENSDARG00000003069
399 chr12 46629761 46641063 + ENSDARG00000003077
400 chr6 55005416 55052177 + ENSDARG00000003081
401 chr25 35951709 35975316 + ENSDARG00000003084
402 chr12 18186412 18219688 - ENSDARG00000003085
403 chr22 22623596 22637779 + ENSDARG00000003087
404 chr15 30736120 30743311 + ENSDARG00000003090
405 chr5 27857170 27865420 + ENSDARG00000003091
406 chr8 29159482 29195509 - ENSDARG00000003098
407 chr22 2591804 2597305 + ENSDARG00000003102
408 chr9 36896658 36918454 + ENSDARG00000003109
409 chr23 26233787 26263995 - ENSDARG00000003113
410 chr21 31224720 31235071 - ENSDARG00000003127
411 chr7 51358471 51365506 + ENSDARG00000003132
412 chr1 29641397 29745261 - ENSDARG00000003142
413 chr5 21899102 21906330 - ENSDARG00000003144
414 chr10 41444962 41473337 + ENSDARG00000003145
415 chr13 17751667 17759591 + ENSDARG00000003146
416 chr21 44026863 44034625 - ENSDARG00000003151
417 chr18 22502262 22515713 - ENSDARG00000003153
418 chr10 7065847 7070301 - ENSDARG00000003157
419 chr11 6150231 6168142 + ENSDARG00000003165
420 chr12 19569748 19579079 + ENSDARG00000003167
421 chr11 19293474 19511153 + ENSDARG00000003169
422 chr21 25930437 25947812 + ENSDARG00000003175
423 chr8 55326812 55335487 + ENSDARG00000003181
424 chr22 40616328 40701704 + ENSDARG00000003189
425 chr25 30026828 30180180 + ENSDARG00000003191
426 chr7 51111576 51147664 + ENSDARG00000003193
427 chr16 4127039 4130635 + ENSDARG00000003197
428 chr4 5681215 5704766 - ENSDARG00000003200
429 chr7 15168692 15180088 + ENSDARG00000003203
430 chr19 21243405 21259648 - ENSDARG00000003205
431 chr23 34358935 34496541 + ENSDARG00000003206
432 chr19 45564762 45571786 - ENSDARG00000003207
433 chr13 8914206 8923777 + ENSDARG00000003208
434 chr2 22861058 22870500 - ENSDARG00000003209
435 chr18 6728017 6768995 + ENSDARG00000003210
436 chr14 49053883 49090126 + ENSDARG00000003213
437 chr25 35059903 35074189 + ENSDARG00000003216
438 chr13 24458220 24484499 - ENSDARG00000003217
439 chr23 33952886 33967032 - ENSDARG00000003219
440 chr14 23460195 23467148 + ENSDARG00000003229
441 chr5 60787863 60810130 - ENSDARG00000003235
442 chr2 43955869 43980375 + ENSDARG00000003244
443 chr23 29999499 30055559 - ENSDARG00000003250
444 chr19 7623706 7633924 + ENSDARG00000003251
445 chr9 17945388 17950375 + ENSDARG00000003257
446 chr10 6767040 6785376 - ENSDARG00000003259
447 chr7 47573290 47581164 + ENSDARG00000003263
448 chr7 8339962 8471986 + ENSDARG00000003269
449 chr3 13226975 13240325 - ENSDARG00000003270
450 chr5 22649900 22662855 - ENSDARG00000003281
451 chr3 43222242 43241628 - ENSDARG00000003283
452 chr6 8080423 8096175 + ENSDARG00000003287
453 chr2 2542265 2589205 - ENSDARG00000003290
454 chr12 2151822 2157414 - ENSDARG00000003293
455 chr8 52448964 52472441 + ENSDARG00000003303
456 chr6 49674636 49692416 + ENSDARG00000003307
457 chr16 41325219 41395350 + ENSDARG00000003308
458 chr13 15136175 15180513 + ENSDARG00000003311
459 chr24 40171755 40208398 + ENSDARG00000003313
460 chr10 7615649 7650378 + ENSDARG00000003317
461 chr19 34468859 34513184 + ENSDARG00000003320
462 Zv9_NA698 37278 48796 - ENSDARG00000003323
463 chr6 23079383 23139437 + ENSDARG00000003326
464 chr13 8982107 9021722 + ENSDARG00000003328
465 chr21 29509402 29528587 + ENSDARG00000003344
466 chr22 40996082 41003796 + ENSDARG00000003373
467 chr2 10078438 10130118 - ENSDARG00000003375
468 chr13 30878774 30886005 - ENSDARG00000003380
469 chr17 15229718 15252224 + ENSDARG00000003381
470 chr2 5351814 5366176 - ENSDARG00000003382
471 chr23 27738372 27746798 - ENSDARG00000003383
472 Zv9_NA998 29587 42920 - ENSDARG00000003384
473 chr24 32591094 32640593 + ENSDARG00000003391
474 chr15 35322704 35380634 + ENSDARG00000003395
475 chr13 52098789 52102915 - ENSDARG00000003397
476 chr1 13339435 13348758 + ENSDARG00000003398
477 chr13 28719021 28725587 + ENSDARG00000003399
478 chr5 23079075 23254862 - ENSDARG00000003403
479 chr17 42391852 42394352 - ENSDARG00000003411
480 chr21 21375157 21380199 + ENSDARG00000003414
481 chr18 38783548 38806097 - ENSDARG00000003420
482 chr9 12738982 12851801 - ENSDARG00000003421
483 chr10 5020618 5027922 - ENSDARG00000003429
484 chr13 31760311 31767967 - ENSDARG00000003444
485 chr22 10626482 10649330 - ENSDARG00000003446
486 chr13 4159663 4275297 + ENSDARG00000003449
487 chr21 1970738 1996552 + ENSDARG00000003462
488 chr23 28586880 28589931 - ENSDARG00000003469
489 chr2 56873542 56912362 - ENSDARG00000003470
490 chr23 24776416 24781150 - ENSDARG00000003475
491 chr3 31039245 31060606 - ENSDARG00000003486
492 chr18 17196479 17237138 + ENSDARG00000003487
493 chr7 35660425 35724091 - ENSDARG00000003495
494 chr19 18775663 18799100 + ENSDARG00000003511
495 chr4 16955022 17269806 - ENSDARG00000003512
496 chr19 4660783 4674161 - ENSDARG00000003513
497 chr2 26831083 26837078 + ENSDARG00000003517
498 chr7 56793796 56803068 - ENSDARG00000003519
499 chr7 41072670 41098489 + ENSDARG00000003520
500 chr14 14032974 14041248 + ENSDARG00000003523
501 chr11 37183786 37191782 - ENSDARG00000003526
502 chr8 47479465 47500738 - ENSDARG00000003527
503 chr2 30454512 30462842 + ENSDARG00000003531
504 chr22 29926691 29930018 + ENSDARG00000003533
505 chr9 46561582 46609608 + ENSDARG00000003544
506 chr25 8826203 8888596 - ENSDARG00000003546
507 chr7 53819828 53823923 + ENSDARG00000003553
508 chr8 21391013 21396694 - ENSDARG00000003564
509 chr4 8898701 8906072 + ENSDARG00000003570
510 chr3 35636166 35640105 - ENSDARG00000003573
511 chr16 34552490 34590500 + ENSDARG00000003576
512 chr25 3710215 3721436 - ENSDARG00000003582
513 chr20 35486344 35495687 - ENSDARG00000003584
514 chr5 34899003 34901616 + ENSDARG00000003592
515 chr3 30018332 30022483 - ENSDARG00000003599
516 chr2 23477764 23489841 - ENSDARG00000003607
517 chr4 17872501 17891216 + ENSDARG00000003615
518 chr18 18660444 18681728 + ENSDARG00000003616
519 chr1 18174899 18208348 + ENSDARG00000003631
520 chr11 37084932 37090800 + ENSDARG00000003632
521 chr5 40197087 40204927 + ENSDARG00000003635
522 chr9 31145731 31162068 + ENSDARG00000003641
523 chr17 1490754 1506755 - ENSDARG00000003642
524 chr22 21449887 21472619 - ENSDARG00000003655
525 chr9 22416965 22433000 + ENSDARG00000003675
526 chr19 35066232 35150588 + ENSDARG00000003680
527 chr20 18774911 18786109 + ENSDARG00000003681
528 chr7 75676940 75719437 + ENSDARG00000003682
529 chr6 22841527 22873639 - ENSDARG00000003684
530 chr11 19673083 19677829 - ENSDARG00000003687
531 chr14 7345664 7364109 + ENSDARG00000003693
532 chr8 2587651 2609355 - ENSDARG00000003695
533 chr6 49003889 49019302 - ENSDARG00000003697
534 chr14 23400340 23445024 + ENSDARG00000003699
535 chr1 33277725 33279850 - ENSDARG00000003701
536 chr25 3734055 3741696 + ENSDARG00000003705
537 chr17 19844156 19948292 - ENSDARG00000003706
